Source IP,Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Avg Packet Size,Avg Fwd Segment Size
192.168.1.102,80,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,8080,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,445,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,1025,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,1723,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,443,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,135,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,143,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,111,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,199,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,3306,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,22,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,23,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,1720,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,554,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,110,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,53,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,139,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,25,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,3389,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,21,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,993,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,113,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,995,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,8888,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5900,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,587,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5051,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,2000,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,646,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,79,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,6000,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,9100,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,49152,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,990,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,8443,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,119,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,49153,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5432,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,1027,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,1026,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,9,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,37,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,3128,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,427,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,389,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,8081,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,1755,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,3000,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,81,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,1029,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,8000,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5000,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,548,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,465,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5666,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,2049,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,88,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5101,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,13,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,2001,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,49157,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5800,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,7070,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,10000,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,1110,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,1900,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,4899,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,444,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,631,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,1433,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,32768,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,6646,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,8009,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,49155,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,544,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,9999,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5060,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,6001,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,49154,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,514,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,2121,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,873,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,543,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,3986,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,2717,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,8008,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,144,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,1028,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,513,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5357,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5190,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,179,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,515,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,26,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,49156,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5009,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,7,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5631,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,106,192.168.1.103,57435,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,106,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5631,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,7,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,5009,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,49156,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
192.168.1.102,26,192.168.1.103,57437,TCP,0.000000,0,2,0,80,1,0,0,0,0,0,0,0,40.0,0
